ticker,exchange,shortName,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,outstandingShare,issueShare,companyType,monthlyRecords
CMV,HOSE,Thương nghiệp Cà Mau,Bán lẻ,Retail,1980.0,666.0,583.0,0.002,http://www.tncm.com.vn,2.8,18.2,18.2,CT,CMV.csv
COM,HOSE,Vật tư Xăng dầu,Bán lẻ,Retail,2000.0,0.0,395.0,0.003,http://comeco.vn,2.6,14.1,14.1,CT,COM.csv
DHT,HNX,Dược phẩm Hà Tây,Bán lẻ,Retail,2001.0,795.0,749.0,0.271,http://www.hataphar.com.vn,2.8,26.4,26.4,CT,DHT.csv
DGW,HOSE,Thế Giới Số,Bán lẻ,Retail,2003.0,612.0,1228.0,0.259,https://digiworld.com.vn,2.9,163.1,163.2,CT,DGW.csv
TTH,HNX,TM và DV Tiến Thành,Bán lẻ,Retail,2003.0,21.0,1452.0,0.003,http://www.tienthanhjsc.vn,,37.4,37.4,CT,TTH.csv
MWG,HOSE,Thế giới di động,Bán lẻ,Retail,2004.0,40756.0,20628.0,0.49,http://www.mwg.vn,2.9,1463.6,1463.9,CT,MWG.csv
HTM,UPCOM,Thương mại Hà Nội - Hapro,Bán lẻ,Retail,2004.0,536.0,0.0,0.0,http://www.haprogroup.vn,2.3,220.0,220.0,CT,HTM.csv
PIT,HOSE,XNK PETROLIMEX,Bán lẻ,Retail,2004.0,215.0,1607.0,0.008,http://www.pitco.com.vn,2.2,14.2,15.2,CT,PIT.csv
BTT,HOSE,TM - DV Bến Thành,Bán lẻ,Retail,2004.0,175.0,473.0,0.049,http://www.benthanhtsc.com,2.6,13.5,13.5,CT,BTT.csv
THS,HNX,Thanh Hoa Sông Đà,Bán lẻ,Retail,2004.0,62.0,240.0,0.001,http://www.thanhhoasongda.com.vn,,2.7,3.0,CT,THS.csv
ABS,HOSE,DV Nông nghiệp Bình Thuận,Bán lẻ,Retail,2004.0,54.0,7471.0,0.0,http://www.bitagco.com,2.5,80.0,80.0,CT,ABS.csv
PET,HOSE,PETROSETCO,Bán lẻ,Retail,2005.0,2739.0,6272.0,0.015,http://www.petrosetco.com.vn,2.5,89.8,90.5,CT,PET.csv
KGM,UPCOM,XNK Kiên Giang,Bán lẻ,Retail,2005.0,280.0,0.0,0.0,http://www.kigimex.com.vn,,25.4,25.4,CT,KGM.csv
AGX,UPCOM,Nông sản Xuất khẩu Sài Gòn,Bán lẻ,Retail,2006.0,832.0,238.0,0.017,http://www.agrexsaigon.com.vn,3.0,10.8,10.8,CT,AGX.csv
PSD,HNX,Phân phối Tổng hợp Dầu khí,Bán lẻ,Retail,2007.0,313.0,1045.0,0.01,http://www.psd.com.vn,2.7,30.7,30.7,CT,PSD.csv
SBV,HOSE,Siam Brothers Việt Nam,Bán lẻ,Retail,2008.0,531.0,481.0,0.148,http://www.siambrothersvn.com,3.1,27.3,27.4,CT,SBV.csv
TV6,UPCOM,TM ĐT xây lắp điện Thịnh Vượng,Bán lẻ,Retail,2008.0,0.0,0.0,0.49,http://www.thinhvuongvn.com,2.1,3.0,3.0,CT,TV6.csv
AFX,UPCOM,XNK Nông sản An Giang,Bán lẻ,Retail,2011.0,239.0,751.0,0.0,http://www.afiex.com.vn,2.4,35.0,35.0,CT,AFX.csv
FRT,HOSE,Bán lẻ FPT,Bán lẻ,Retail,2012.0,10078.0,8981.0,0.243,http://frt.vn,2.7,118.5,118.5,CT,FRT.csv
SAS,UPCOM,DV Hàng không sân bay TSN,Bán lẻ,Retail,2015.0,857.0,1112.0,0.004,http://www.sasco.com.vn/vi/trang-chu/,2.4,133.5,133.5,CT,SAS.csv
AST,HOSE,Dịch vụ Hàng không Taseco,Bán lẻ,Retail,2015.0,453.0,505.0,0.445,http://www.tasecoairs.vn,2.5,45.0,45.0,CT,AST.csv
CEN,UPCOM,CENCON Việt Nam,Bán lẻ,Retail,2015.0,19.0,443.0,0.0,http://www.cencon.vn,,21.7,21.7,CT,CEN.csv
PGI,HOSE,Bảo hiểm PJICO,Bảo hiểm,Insurance,1995.0,1497.0,0.0,0.206,http://www.pjico.com.vn,2.7,110.9,110.9,BH,PGI.csv
PTI,HNX,Bảo hiểm Bưu điện,Bảo hiểm,Insurance,1998.0,2539.0,9896.0,0.383,https://www.pti.com.vn/,2.4,80.4,80.4,BH,PTI.csv
BIC,HOSE,Bảo hiểm BIDV,Bảo hiểm,Insurance,1999.0,1170.0,1598.0,0.468,http://www.bic.vn,2.8,117.3,117.3,BH,BIC.csv
BMI,HOSE,Bảo hiểm Bảo Minh,Bảo hiểm,Insurance,2004.0,1678.0,0.0,0.323,http://www.baominh.com.vn,2.5,109.6,109.6,BH,BMI.csv
VNR,HNX,Tái bảo hiểm Quốc gia,Bảo hiểm,Insurance,2004.0,101.0,84.0,0.271,http://www.vinare.com.vn,2.7,150.7,150.7,BH,VNR.csv
PVI,HNX,Bảo hiểm PVI,Bảo hiểm,Insurance,2006.0,2500.0,0.0,0.588,http://www.pvi.com.vn,2.7,234.2,234.2,BH,PVI.csv
